City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Ushuaia,AR,-54.8,-68.3,46.06,49,20,17.27,few clouds
1,Hamilton,US,39.1834,-84.5333,81.41,81,28,1.01,light rain
2,Teya,RU,60.3778,92.6267,57.99,77,100,2.04,overcast clouds
3,Puerto Varas,CL,-41.3195,-72.9854,53.82,66,0,6.91,clear sky
4,Matara,LK,5.9485,80.5353,78.46,86,100,9.69,overcast clouds
5,Podporozhye,RU,60.9112,34.1706,58.01,95,24,5.61,few clouds
6,Lafia,NG,8.4833,8.5167,72.39,96,100,4.36,overcast clouds
7,Padrauna,IN,26.9025,83.9819,78.67,92,100,2.01,heavy intensity rain
8,Punta Arenas,CL,-53.15,-70.9167,46.51,66,40,11.5,scattered clouds
9,Nicoya,CR,10.1483,-85.452,89.15,77,98,6.78,overcast clouds
10,Souillac,MU,-20.5167,57.5167,68.38,88,75,10.36,broken clouds
11,San Cristobal,VE,7.7669,-72.225,84.38,80,68,7.29,broken clouds
12,Mahebourg,MU,-20.4081,57.7,68.29,88,75,10.36,light rain
13,Hermanus,ZA,-34.4187,19.2345,57.9,78,94,4.34,overcast clouds
14,Qaanaaq,GL,77.484,-69.3632,43.07,80,87,1.32,overcast clouds
15,Beloha,MG,-25.1667,45.05,67.19,59,0,9.22,clear sky
16,Kruisfontein,ZA,-34.0033,24.7314,56.88,77,84,18.86,broken clouds
17,Margate,GB,51.3813,1.3862,60.69,85,99,4.0,overcast clouds
18,Cockburn Town,TC,21.4612,-71.1419,85.96,70,40,12.66,scattered clouds
19,Nurota,UZ,40.5614,65.6886,73.49,15,0,6.8,clear sky
20,Lebu,CL,-37.6167,-73.65,52.11,73,29,18.32,scattered clouds
21,Tasiilaq,GL,65.6145,-37.6368,57.36,76,18,5.7,few clouds
22,Cacador,BR,-26.7753,-51.015,50.04,81,92,2.21,overcast clouds
23,Marawi,PH,7.9986,124.2928,69.66,94,100,4.41,overcast clouds
24,Irtyshskiy,RU,58.3333,68.1333,59.56,95,35,6.53,light rain
25,Sao Filipe,CV,14.8961,-24.4956,76.03,76,11,8.03,few clouds
26,Dikson,RU,73.5069,80.5464,39.58,99,98,7.49,overcast clouds
27,Dobrinje,BA,44.0497,18.1194,86.74,57,67,4.59,broken clouds
28,Natal,BR,-5.795,-35.2094,80.82,69,75,17.27,broken clouds
29,Ponta Do Sol,PT,32.6667,-17.1,72.23,59,1,5.55,clear sky
30,Narsaq,GL,60.9167,-46.05,61.02,63,100,4.0,overcast clouds
31,Georgetown,MY,5.4112,100.3354,76.95,93,20,5.01,few clouds
32,Port Elizabeth,ZA,-33.918,25.5701,59.29,77,40,29.93,scattered clouds
33,Kintampo,GH,8.0563,-1.7306,71.06,92,53,4.0,broken clouds
34,Busselton,AU,-33.65,115.3333,53.04,68,90,7.27,overcast clouds
35,Itarema,BR,-2.9248,-39.9167,78.98,74,90,13.29,overcast clouds
36,Cape Town,ZA,-33.9258,18.4232,58.12,81,40,3.44,scattered clouds
37,Castro,BR,-24.7911,-50.0119,50.13,82,69,2.8,broken clouds
38,Huarmey,PE,-10.0681,-78.1522,68.76,72,7,10.94,clear sky
39,Doka,SD,13.5167,35.7667,70.75,92,100,5.75,overcast clouds
40,Nola,IT,40.922,14.5329,85.35,53,22,13.0,few clouds
41,Calatayud,ES,41.3535,-1.6432,72.18,44,13,7.05,few clouds
42,Tibati,CM,6.4667,12.6333,67.05,95,98,0.98,light rain
43,Clyde River,CA,70.4692,-68.5914,43.03,87,90,16.11,overcast clouds
44,Do Gonbadan,IR,30.3586,50.7981,87.89,29,0,6.91,clear sky
45,Lima,PE,-12.0432,-77.0282,69.91,71,90,4.61,overcast clouds
46,Kutum,SD,14.2,24.6667,76.05,61,68,9.75,broken clouds
47,Port Alfred,ZA,-33.5906,26.891,61.02,83,26,25.99,scattered clouds
48,Izhmorskiy,RU,56.194,86.6414,55.02,93,72,2.39,broken clouds
49,Iqaluit,CA,63.7506,-68.5145,53.33,81,90,3.0,overcast clouds
50,Ballina,AU,-28.8667,153.5667,66.16,82,51,9.22,broken clouds
51,Hithadhoo,MV,-0.6,73.0833,80.78,73,87,6.46,moderate rain
52,Erbaa,TR,40.6689,36.5675,68.79,91,0,1.81,clear sky
53,Arraial Do Cabo,BR,-22.9661,-42.0278,75.16,68,20,13.8,few clouds
54,Verkhniy Baskunchak,RU,48.2256,46.7217,85.1,36,2,5.82,clear sky
55,Jamestown,US,42.097,-79.2353,69.39,72,75,9.22,broken clouds
56,Upernavik,GL,72.7868,-56.1549,43.11,79,26,13.22,scattered clouds
57,Peniche,PT,39.3558,-9.3811,69.73,91,75,7.11,broken clouds
58,East London,ZA,-33.0153,27.9116,62.64,60,24,20.58,few clouds
59,Ribeira Grande,PT,38.5167,-28.7,75.6,88,40,12.66,scattered clouds
60,Hobyo,SO,5.3505,48.5268,77.7,79,5,23.02,clear sky
61,Henties Bay,NA,-22.116,14.2845,67.14,43,0,9.57,clear sky
62,Elizabeth City,US,36.2946,-76.2511,82.6,94,75,0.0,mist
63,Coruripe,BR,-10.1256,-36.1756,73.06,76,8,15.35,clear sky
64,Los Llanos De Aridane,ES,28.6585,-17.9182,69.55,71,20,17.27,few clouds
65,Longyearbyen,SJ,78.2186,15.6401,46.24,66,75,17.27,broken clouds
66,Sambava,MG,-14.2667,50.1667,68.31,89,94,9.42,light rain
67,Cidreira,BR,-30.1811,-50.2056,57.04,90,84,6.44,broken clouds
68,Saint-Augustin,CA,51.226,-58.6502,64.72,67,87,17.96,overcast clouds
69,Ilulissat,GL,69.2167,-51.1,57.22,44,0,5.75,clear sky
70,Mangrol,IN,21.1167,70.1167,81.1,84,100,21.41,overcast clouds
71,Veraval,IN,20.9,70.3667,81.0,85,100,21.14,overcast clouds
72,Luba,GQ,3.4568,8.5547,76.89,84,99,4.88,overcast clouds
73,Vestmanna,FO,62.1564,-7.1664,47.32,81,90,8.05,overcast clouds
74,Cabedelo,BR,-6.9811,-34.8339,81.27,75,4,20.4,clear sky
75,Nadym,RU,65.5333,72.5167,56.86,90,100,10.18,light rain
76,Lannion,FR,48.75,-3.4167,60.75,100,0,5.75,clear sky
77,Kasane,BW,-17.8167,25.15,57.63,49,0,4.72,clear sky
78,Lagoa,PT,39.05,-27.9833,72.0,95,49,16.8,scattered clouds
79,Sakti,IN,22.0333,82.9667,77.02,82,100,5.39,overcast clouds
80,Gazojak,TM,41.1875,61.4036,83.44,17,0,13.76,clear sky
81,Neuquen,AR,-38.9516,-68.0591,60.69,48,0,2.3,clear sky
82,Pangody,RU,65.85,74.4859,59.34,65,100,12.39,overcast clouds
83,Saldanha,ZA,-33.0117,17.9442,48.25,89,62,9.66,broken clouds
84,Dawlatabad,AF,36.4141,64.9053,81.23,17,0,7.72,clear sky
85,Salym,RU,60.0625,71.4789,59.94,99,100,2.75,overcast clouds
86,Klaksvik,FO,62.2266,-6.589,49.12,83,50,9.46,scattered clouds
87,Laguna,US,38.421,-121.4238,105.64,34,1,3.44,clear sky
88,Touros,BR,-5.1989,-35.4608,79.7,73,5,19.48,clear sky
89,Khokhlovo,RU,59.1492,37.3998,60.82,95,18,4.74,few clouds
90,Walvis Bay,NA,-22.9575,14.5053,74.35,17,0,12.66,clear sky
91,Chernukha,RU,55.5974,43.7556,66.09,66,95,5.86,overcast clouds
92,Saint-Philippe,RE,-21.3585,55.7679,67.55,75,49,10.04,scattered clouds
93,Quatre Cocos,MU,-20.2078,57.7625,68.11,71,49,16.37,light rain
94,Ghanzi,BW,-21.5667,21.7833,54.66,42,0,7.92,clear sky
95,Rylsk,RU,51.5655,34.6822,71.55,63,33,5.84,scattered clouds
96,Hofn,IS,64.2539,-15.2082,54.09,93,98,3.76,overcast clouds
97,Bilma,NE,18.6853,12.9164,96.69,10,0,4.32,clear sky
98,Surami,GE,42.0243,43.5556,65.39,95,78,1.23,broken clouds
99,Vardo,NO,70.3705,31.1107,55.15,93,75,14.97,broken clouds
100,Bowmore,US,34.9421,-79.3031,88.7,42,61,10.56,broken clouds
101,Quelimane,MZ,-17.8786,36.8883,67.95,82,0,5.01,clear sky
102,Adrar,MR,20.5022,-10.0711,96.28,24,33,8.68,scattered clouds
103,Xuddur,SO,4.1213,43.8894,71.91,75,71,19.08,broken clouds
104,Milyutinskaya,RU,48.6279,41.6679,77.88,53,1,7.14,clear sky
105,Sao Felix Do Xingu,BR,-6.6447,-51.995,90.09,30,100,4.21,overcast clouds
106,Berlevag,NO,70.8578,29.0864,55.2,93,75,5.75,light intensity shower rain
107,Tafresh,IR,34.692,50.013,71.76,31,34,9.46,scattered clouds
108,Rawson,AR,-43.3002,-65.1023,61.25,32,34,10.51,scattered clouds
109,Luanda,AO,-8.8368,13.2343,73.4,88,75,8.05,broken clouds
110,Meulaboh,ID,4.1363,96.1285,74.84,88,100,3.96,overcast clouds
111,Gijon,ES,43.5357,-5.6615,65.44,91,50,1.66,scattered clouds
112,Barranca,PE,-10.75,-77.7667,66.36,74,12,10.4,few clouds
113,Myre,NO,69.1036,15.9492,46.35,76,70,14.67,light rain
114,Qarayeri,AZ,40.7886,46.3066,79.68,53,40,6.91,scattered clouds
115,Abu Kamal,SY,34.4506,40.9171,94.42,15,0,8.9,clear sky
116,Tutoia,BR,-2.7619,-42.2744,79.29,74,100,10.13,overcast clouds
